return	bank
1.656402	4
1.51513287	7
2.01973411	3
-1.31768937	1
2.67908747	8
4.22219922	6
4.64534717	9
3.75090273	7
0.90395873	1
2.05421608	3
3.85145487	8
3.5086634	10
4.31161171	8
1.16276648	4
3.27598928	5
0.12459676	4
1.05153114	1
3.83397456	9
3.75113228	9
2.03663342	4
1.8329849	7
3.00791371	6
2.47320102	9
3.97272925	10
3.96722955	6
1.64763532	10
1.49701799	3
1.74109371	1
2.81184476	8
1.77318035	2
1.84197665	6
2.42102323	3
2.77686985	7
1.15012956	3
2.53471626	3
2.37102401	2
1.73005739	2
2.79950354	4
1.61088491	10
1.65350838	10
3.3676414	3
2.3596493	6
4.74562538	10
2.26729489	5
2.55415516	3
2.52323761	7
3.41263034	8
2.59018851	9
2.98795758	6
2.10182352	6
1.90565498	1
2.92131803	5
3.65933659	3
3.22169016	9
2.4183285	1
1.06520344	1
3.44414973	3
2.41637742	8
3.11081368	9
2.44708639	8
2.67615302	7
-0.47623002	10
3.73591004	6
2.59996192	5
2.25213806	4
0.77242603	1
4.62161768	5
2.32821958	4
3.62091063	7
2.30760774	2
4.40644479	3
1.46701436	1
1.00787176	10
2.61547085	1
3.69802841	9
1.00020305	2
4.3285379	7
1.61044694	1
0.33405917	6
3.95461677	7
1.25848423	9
1.53414801	5
3.73199076	4
2.54834037	1
0.25084681	4
1.58644403	1
1.93550807	7
2.51743282	10
2.496982	9
3.3580185	5
3.41157986	9
1.60241115	7
2.71990464	9
1.9812889	9
1.45181383	2
2.42037958	5
3.47580624	9
3.16111399	10
5.6580053	7
-0.71896755	1
2.73241778	9
4.11244836	10
3.51575155	8
2.63653086	7
5.00090637	9
4.3541575	7
1.00634556	6
2.40609559	8
3.12164715	5
1.21949036	2
0.74271504	10
3.6745756	6
2.29501518	2
2.93631156	7
2.55727369	3
0.67784713	4
2.41448705	4
3.27062595	9
3.23492195	8
3.47597586	10
2.21007887	2
4.27166349	4
0.51267405	10
3.94309628	7
1.0440053	3
1.59034839	9
2.76406768	5
3.4632836	8
1.6569856	3
0.77203642	10
1.21108575	10
3.09410222	9
1.72156152	9
2.85001009	9
3.29388131	10
3.6715985	7
3.35596345	8
3.22566155	7
3.22408947	4
2.83134034	6
3.47795444	9
3.49943014	5
0.23141959	2
2.3983503	3
1.00214527	3
3.42486741	6
0.1787941	10
1.44425662	2
2.59455128	7
2.82685512	6
1.6098096	3
2.05120636	6
1.68880482	2
2.72873539	2
1.30266566	3
1.82694048	7
2.81464636	10
3.0773748	9
1.79368511	3
2.7319297	9
1.57698243	1
4.55683283	9
2.63090082	1
0.88366759	10
3.02704772	7
1.75556165	5
3.93417359	8
3.95048942	4
3.07984687	5
3.1516263	1
2.38396473	6
0.71108912	3
4.11173459	7
1.39396188	3
2.02284263	5
1.26340513	4
2.46891204	10
1.14999588	1
1.73866915	9
1.7573331	1
2.36314204	9
1.6992217	5
2.83053658	8
2.50856459	9
2.01737293	3
2.40137407	5
2.14269813	6
2.28777322	3
0.78725486	10
1.99543167	10
1.62392388	6
0.23697668	10
4.11177405	7
2.78036782	4
4.15086761	9
2.18955762	7
2.57834875	5
1.97832801	5
2.23144448	5
2.75238895	8
3.94645764	10
2.45364937	7
4.68284248	4
0.03048987	3
2.73378322	3
4.39163697	9
2.36511128	5
3.50542513	8
1.95830732	6
2.86309518	8
2.30773135	2
0.89201401	1
3.7782178	7
4.88303695	8
3.38001154	9
0.78891961	2
4.12353755	10
1.6694888	1
2.24492271	2
2.21150194	5
2.91769111	5
3.53989223	8
1.3854754	2
3.17374635	10
2.49824361	5
2.45417612	9
1.2392872	1
2.62471961	10
0.08978408	10
3.33826723	5
2.86020285	9
2.99287389	1
3.02106219	8
3.79071589	7
0.90423111	1
1.36931816	4
2.80130826	5
1.86054429	5
2.62798541	8
2.50821267	7
4.10420668	9
-0.42090979	10
3.88372148	3
3.03340475	6
0.70496569	8
5.39721315	7
0.6278279	10
1.33238748	5
1.6719286	4
4.19836364	4
2.99999951	9
1.33141897	4
1.18618493	2
2.26839769	5
2.19241528	6
2.5485497	9
4.16341096	7
2.60940662	4
1.37020003	4
3.48768358	6
1.71356975	7
4.71913943	9
1.95776093	3
0.67508114	5
4.32466811	7
3.71844642	3
4.39480527	8
0.98464292	7
2.22958889	10
3.67263631	7
4.04932706	3
2.83198975	8
-0.21658524	2
3.90718591	7
1.74221299	4
4.45516239	10
1.9626104	5
1.01896007	5
2.52572831	10
1.9854382	1
-0.02772622	10
2.11455096	7
1.4228725	4
-0.03704491	10
2.05480144	4
-0.25959617	1
1.88285723	7
5.03172381	7
2.86356876	4
5.32544266	8
0.92061185	2
2.95067464	3
4.87357127	10
2.54269693	10
2.59776551	5
2.37600915	2
2.27771019	7
1.97273754	3
2.46600393	1
3.54356787	3
2.92470197	7
3.14762758	9
1.00431766	2
2.75422492	3
1.74506941	5
1.35370044	10
2.73996997	3
1.65759993	7
2.12664624	1
0.01237012	1
1.99709786	7
1.95569026	2
3.68861276	10
2.44364585	1
1.9305083	5
2.61988348	5
3.63621438	8
2.38592286	5
3.60511392	3
3.46628321	10
3.49079843	8
2.64106469	3
3.58202945	9
1.47145618	1
1.66418035	9
3.10277771	5
1.98277468	4
1.66837846	9
1.82105133	3
-0.88191316	1
2.23841378	2
4.15123717	5
1.89923993	10
2.16495164	5
1.3013768	6
1.83321448	2
2.10912843	2
2.38013555	1
3.29921565	10
2.85326108	6
0.69705042	10
3.55199775	5
1.58783129	2
2.22195548	4
-0.0530387	10
1.47728522	1
3.77140917	9
4.06148602	6
3.58654962	8
1.62569731	2
2.48437479	9
3.03781854	4
3.5406009	10
1.41160632	4
1.83693389	1
2.10901757	3
-0.24263308	8
2.93039811	2
2.45129676	4
0.44974896	4
2.87863236	4
1.79011806	10
0.6206803	10
2.61680557	4
1.54355167	4
0.78178368	1
1.18998501	2
2.07945307	1
1.48350206	9
3.56283946	6
3.64817464	5
4.46258116	9
2.92243022	10
2.76289283	4
3.31173317	1
2.31045012	4
4.02584418	10
0.82619077	7
4.3079795	6
2.84485225	6
0.68676452	4
2.16776386	3
2.50754446	1
3.29495134	5
4.84736127	9
2.28224444	4
2.14533782	3
1.8519899	3
2.78559822	10
0.55975626	8
2.27922466	3
1.59683979	1
1.96678248	3
1.08823226	10
2.35487108	8
3.68935183	5
2.91242952	9
3.26073677	5
0.60899274	1
2.10389003	3
0.72594772	1
2.53006507	9
1.66461786	2
3.68859441	8
-0.10471928	10
2.4371188	4
3.04692497	10
2.7338234	9
2.8021633	3
2.93175343	8
0.89913848	1
1.74639859	8
3.06516432	1
0.69005448	9
1.75789517	4
2.38078024	5
2.03163665	6
3.1372229	5
2.49735566	2
5.29145122	9
4.70882658	5
2.56793389	5
1.5062785	10
4.0365295	8
2.04531524	2
1.21486185	1
3.17968599	4
2.08137032	1
0.99640076	3
3.09157839	2
2.40292411	10
2.05855008	8
4.11369559	1
3.73567339	6
2.442353	4
2.67356422	1
2.20563665	4
2.25242807	4
0.33450267	1
2.58598937	6
1.24188281	4
3.10789724	6
1.56710136	6
2.10150819	1
2.15793553	6
1.67746063	7
2.4673157	8
1.85827007	4
0.72357273	6
3.27371362	6
2.33365014	7
3.80270893	5
0.75187281	10
1.81094805	10
2.24402955	2
0.88516075	10
2.8123976	6
1.32896868	6
1.86953474	2
3.49156119	6
2.21816245	8
1.83269526	2
2.55952358	7
2.52669769	8
3.51801283	7
2.21654026	7
1.34932539	4
3.32266049	8
4.45670723	8
4.64267402	8
0.4814422	4
0.85442488	3
3.53911582	7
2.70062496	6
1.86539242	1
3.256704	9
3.38995609	6
2.14569834	1
2.69815831	2
3.36390923	9
3.02769113	7
1.7463864	1
2.52256784	8
2.62531987	5
1.63273084	3
2.15460139	5
1.42054664	2
2.88483793	5
1.68683099	3
1.14685614	2
1.0499446	9
3.87791881	6
3.22294459	6
1.85642525	10
2.14689454	8
2.65420949	5
0.54120307	10
1.56863344	4
2.53587146	10
2.39195252	1
4.2927356	9
2.62560084	2
1.71260294	8
2.95832327	2
1.98145562	1
2.02330114	4
4.08411541	9
4.37464005	7
2.71038149	3
3.17492895	7
1.68060506	8
2.73698278	10
1.42213939	2
2.96710848	10
2.72559861	6
1.06190443	5
1.01190983	2
1.88752001	9
0.88337189	2
1.49619913	2
2.58432641	1
3.60357226	4
1.62155765	1
1.3383271	2
2.22480601	6
2.94705611	5
2.6013917	5
3.85854349	5
2.98283801	4
3.29460047	10
3.5486586	6
3.91707268	10
3.52268482	3
3.36260191	4
2.59868162	8
3.12097582	6
4.25936985	6
1.02438894	1
3.23069874	9
3.64250159	6
2.60734679	9
1.27166372	3
2.31437563	6
2.62625705	5
3.18079223	8
3.33731064	5
1.10621081	7
1.02637907	4
1.11142225	1
2.29064947	1
0.48846585	1
1.16401047	4
3.78503798	10
3.39144034	9
4.89927441	5
4.77170688	9
2.91695649	4
2.08819907	4
4.4792811	10
2.43323514	3
2.54060897	5
0.22259765	1
2.37699754	2
1.51506016	3
2.08367384	5
2.99600478	7
3.8343609	9
0.79509612	1
2.09925347	1
4.1811865	6
3.85608147	10
2.30063625	4
1.26754183	3
1.49550307	10
-0.02730535	10
2.96603249	8
2.11384863	6
0.6216834	1
2.30320487	1
-0.25632768	3
1.79236223	5
4.9890255	4
3.34452141	6
2.2094784	4
2.42836637	7
1.85171937	2
2.22771052	6
2.03277958	4
3.07515876	6
2.91215772	3
3.94029727	10
1.85049582	5
3.31474065	9
1.68231782	4
3.04679771	6
2.17079748	10
2.78893175	2
4.08589773	9
3.58242608	7
1.77904592	9
1.57301507	3
3.33685686	2
1.96823768	3
1.78729795	8
1.85618974	6
3.07785751	3
2.34679582	2
0.62857956	2
1.73867574	7
2.51645344	9
4.51402601	4
3.71690212	4
3.34149784	7
0.28362682	1
1.92845042	10
1.11110581	3
-0.6933335	2
4.37601405	9
1.3840508	2
1.50054604	10
3.10759586	9
1.25688273	2
1.88060161	4
2.50413338	9
1.31448354	3
0.97796105	4
0.85288741	3
1.78268143	7
3.55156976	7
1.96467272	3
2.49024314	3
1.98638594	6
3.71403242	6
1.76449289	9
2.19719607	10
-0.18917072	3
1.51670134	1
3.74652666	8
2.13510227	1
2.2551518	5
2.76399276	5
1.78983251	7
1.71536755	1
1.48305981	7
1.1503018	4
4.72863674	9
2.54881651	3
1.81542652	3
0.90478352	5
3.45800686	9
3.84580403	10
2.33603327	2
2.71948729	8
0.5308357	2
1.85006531	6
2.96031865	3
1.26179699	1
2.93277397	3
3.41762977	10
3.12257479	10
4.05375787	5
-0.75309975	1
2.57964241	3
1.52637067	6
4.66675383	9
2.638047	5
3.47294273	5
1.41316296	10
4.37093735	10
2.71673158	10
1.73605089	4
1.32733524	3
1.76764923	2
2.78318367	7
2.66649974	5
0.69792481	4
-0.22964198	10
1.44475614	2
2.2224137	10
1.66785658	7
0.44377484	10
