Magnitude,Location,Latitude,Longitude,Depth (km),Date (UTC),EventId,Event URL
2.6,"7km SSW of Blytheville, Arkansas",35.8608,-89.9397,7.9,"2012-11-04 17:08:14",nm110412a,http://earthquake.usgs.gov/earthquakes/eventpage/nm110412a
4.7,"South of the Fiji Islands",-24.3651,-179.0981,353.58,"2012-11-04 17:07:06",usb000dk8b,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk8b
3.1,"2km N of San Antonio Heights, California",34.1762,-117.6592,0.4,"2012-11-04 17:03:01",ci15241153,http://earthquake.usgs.gov/earthquakes/eventpage/ci15241153
4.7,"14km NE of Sarangani, Philippines",5.5071,125.5405,201.1,"2012-11-04 16:28:21",us2012hnau,http://earthquake.usgs.gov/earthquakes/eventpage/us2012hnau
2.9,"45km S of Redoubt Volcano, Alaska",60.0767,-152.7461,105.2,"2012-11-04 14:45:38",ak10593266,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593266
2.5,"29km NW of Anchor Point, Alaska",59.9591,-152.208,40.5,"2012-11-04 13:53:39",ak10593254,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593254
4.9,"186km S of Masset, Canada",52.3393,-132.0312,10.43,"2012-11-04 12:27:36",usb000dk69,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk69
5.1,"65km WNW of Ile Hunter, New Caledonia",-22.2777,171.4319,94.04,"2012-11-04 12:13:01",usb000dk67,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk67
3.3,"142km NNE of Road Town, British Virgin Islands",19.6713,-64.3294,62,"2012-11-04 09:53:50",pr12309002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12309002
4.3,"39km NNE of La Paz, Mexico",24.5042,-110.1831,10.39,"2012-11-04 09:53:09",usb000dk5a,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk5a
4.1,"142km S of Masset, Canada",52.7407,-131.859,9.97,"2012-11-04 07:42:15",usb000dk3n,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk3n
5.4,"8km NE of Lluta, Peru",-15.9479,-71.9675,122.56,"2012-11-04 06:37:36",usb000dk3f,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk3f
3.1,"27km WNW of Ephraim, Utah",39.4288,-111.8885,5.2,"2012-11-04 06:04:19",uu60003802,http://earthquake.usgs.gov/earthquakes/eventpage/uu60003802
3.1,"115km N of Culebra, Puerto Rico",19.3495,-65.2519,46,"2012-11-04 05:09:28",pr12309001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12309001
4,"156km S of Masset, Canada",52.6167,-131.9573,9.97,"2012-11-04 05:07:53",usb000dk2r,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk2r
2.6,"73km WSW of Anchor Point, Alaska",59.4392,-152.9424,91.9,"2012-11-04 04:50:01",ak10593165,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593165
4.7,"77km SSE of Raoul Island, New Zealand",-29.9425,-177.7036,17.96,"2012-11-04 04:16:39",usb000dk27,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk27
2.5,"71km NNE of Road Town, British Virgin Islands",19.0475,-64.4777,16,"2012-11-04 04:16:15",pr12309000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12309000
4.6,"65km S of Pondaguitan, Philippines",5.777,126.2675,147.56,"2012-11-04 04:14:03",usb000dk23,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk23
4.9,"30km SW of Jauja, Peru",-11.9781,-75.687,94.3,"2012-11-04 01:52:11",usb000dk1j,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk1j
2.5,"69km W of Cantwell, Alaska",63.4465,-150.3322,0.1,"2012-11-04 01:51:26",ak10593126,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593126
3.2,"5km S of Volcano, Hawaii",19.3847,-155.2463,3.3,"2012-11-04 01:33:57",hv60426701,http://earthquake.usgs.gov/earthquakes/eventpage/hv60426701
3.1,"62km WNW of Fort Yukon, Alaska",66.7563,-146.6014,34.2,"2012-11-04 01:19:25",ak10593113,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593113
4.9,"35km NE of Port-Olry, Vanuatu",-14.8574,167.3163,147.36,"2012-11-04 00:16:33",usb000dk11,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk11
2.9,"12km NW of Lincoln City, Oregon",45.0253,-124.1512,39.7,"2012-11-03 23:54:43",uw60484031,http://earthquake.usgs.gov/earthquakes/eventpage/uw60484031
3,"25km NNE of Valdez, Alaska",61.3347,-146.1162,23.7,"2012-11-03 23:29:43",ak10593087,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593087
2.6,"51km NE of Road Town, British Virgin Islands",18.7828,-64.3206,43,"2012-11-03 23:24:19",pr12308008,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308008
2.6,"17km SE of Volcano, Hawaii",19.3225,-155.1228,8,"2012-11-03 23:04:58",hv60426641,http://earthquake.usgs.gov/earthquakes/eventpage/hv60426641
3.3,"27km WSW of Rincon, Puerto Rico",18.2441,-67.4945,139,"2012-11-03 22:48:57",pr12308007,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308007
2.5,"8km W of Cobb, California",38.819,-122.822,4.3,"2012-11-03 22:04:53",nc71874725,http://earthquake.usgs.gov/earthquakes/eventpage/nc71874725
4.9,"141km SW of Vaini, Tonga",-21.9335,-176.3168,105.47,"2012-11-03 20:49:11",usb000djzq,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djzq
4.3,"102km N of Lae, Papua New Guinea",-5.7961,146.9416,116.12,"2012-11-03 19:08:53",usb000djyg,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djyg
4.5,"7km SW of Fuerte, Philippines",17.4852,120.3199,44.85,"2012-11-03 18:40:52",usb000djy2,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djy2
2.9,"58km NNW of Road Town, British Virgin Islands",18.9276,-64.7618,78,"2012-11-03 18:07:26",pr12308005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308005
4.2,"165km S of Masset, Canada",52.5345,-132.0069,22.35,"2012-11-03 17:49:14",usb000djxc,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djxc
2.9,"78km NNE of Vieques, Puerto Rico",19.0526,-65.4766,46,"2012-11-03 17:32:50",pr12308004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308004
3,"138km N of Road Town, British Virgin Islands",19.6469,-64.3888,43,"2012-11-03 16:43:09",pr12308006,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308006
3.2,"47km S of Redoubt Volcano, Alaska",60.0646,-152.6187,102.2,"2012-11-03 15:32:23",ak10593030,http://earthquake.usgs.gov/earthquakes/eventpage/ak10593030
4.6,"83km N of Tual, Indonesia",-4.9157,132.8549,51.76,"2012-11-03 14:41:23",usb000djw9,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djw9
2.8,"3km S of San Juan Bautista, California",36.8137,-121.5418,6.4,"2012-11-03 14:19:18",nc71874555,http://earthquake.usgs.gov/earthquakes/eventpage/nc71874555
4.9,"13km NNW of Chivay, Peru",-15.531,-71.6551,122.65,"2012-11-03 13:56:20",usb000djw2,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djw2
5.8,"Central Mid-Atlantic Ridge",7.0695,-34.0778,9.42,"2012-11-03 12:58:12",usb000djvs,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djvs
4,"187km SSW of Masset, Canada",52.3801,-132.7508,9.81,"2012-11-03 12:18:42",usb000djvj,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djvj
3.1,"3km SSW of Guacara, Venezuela",10.2,-67.89,5,"2012-11-03 11:50:57",usb000dk0p,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dk0p
5.5,"110km ENE of San Isidro, Philippines",10.5426,126.9354,48.42,"2012-11-03 11:12:23",usb000djv3,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djv3
2.5,"14km NW of Muscoy, California",34.232,-117.464,12.1,"2012-11-03 10:49:47",ci15240649,http://earthquake.usgs.gov/earthquakes/eventpage/ci15240649
4,"157km S of Masset, Canada",52.6111,-132.3783,10.05,"2012-11-03 09:48:24",usb000djuh,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djuh
4.3,"26km WSW of Arequipa, Peru",-16.4729,-71.7688,109.67,"2012-11-03 09:47:01",usb000djuj,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djuj
3.2,"87km E of Old Iliamna, Alaska",59.6109,-153.3865,124.6,"2012-11-03 07:24:43",ak10592925,http://earthquake.usgs.gov/earthquakes/eventpage/ak10592925
3.4,"63km S of Boca de Yuma, Dominican Republic",17.8122,-68.7005,99,"2012-11-03 07:07:24",pr12308003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308003
2.9,"83km NNW of Road Town, British Virgin Islands",19.1261,-64.8882,24,"2012-11-03 06:52:30",pr12308001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308001
3.2,"110km N of Brenas, Puerto Rico",19.4655,-66.306,63,"2012-11-03 05:32:21",pr12308002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308002
4.4,"166km S of Masset, Canada",52.5224,-131.8698,12.84,"2012-11-03 04:25:19",usb000djsz,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djsz
4.6,"291km S of Amahusu, Indonesia",-6.352,127.9541,360.81,"2012-11-03 03:58:29",usb000djsu,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djsu
3,"84km N of Charlotte Amalie, U.S. Virgin Islands",19.1084,-64.9465,17,"2012-11-03 03:28:05",pr12308000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12308000
4.7,"167km W of Bengkulu, Indonesia",-3.6237,100.7665,38.74,"2012-11-03 02:10:10",usb000djsb,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djsb
4.4,"100km NE of Kiunga, Papua New Guinea",-5.5233,141.9706,40.02,"2012-11-03 02:08:25",usb000djsa,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djsa
3,"68km N of San Juan, Puerto Rico",19.0816,-66.0569,48,"2012-11-02 23:49:26",pr12307005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12307005
4.4,"33km WSW of Santa Cruz, Chile",-34.7694,-71.6879,46.72,"2012-11-02 23:42:37",usb000djra,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djra
4.9,"55km ENE of Namie, Japan",37.6667,141.5879,32.66,"2012-11-02 22:34:20",usb000djqk,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djqk
2.5,"23km N of Dorado, Puerto Rico",18.6678,-66.2733,19,"2012-11-02 22:01:11",pr12307004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12307004
4.5,"91km SSE of Phek, India",24.9385,94.9199,99.13,"2012-11-02 21:31:48",usb000djpa,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djpa
4.5,"3km NE of Taloc, Philippines",10.5895,122.9188,112.29,"2012-11-02 20:39:02",usb000djng,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djng
3,"6km WSW of Cobb, California",38.8075,-122.791,2,"2012-11-02 20:23:42",nc71874075,http://earthquake.usgs.gov/earthquakes/eventpage/nc71874075
2.7,"11km W of Progreso, Mexico",32.5963,-115.7068,8,"2012-11-02 20:03:38",ci15240393,http://earthquake.usgs.gov/earthquakes/eventpage/ci15240393
4.9,"126km ENE of Saipan, Northern Mariana Islands",15.6624,146.8397,55.83,"2012-11-02 20:02:25",usb000djkp,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djkp
6.1,"5km E of Burgos, Philippines",9.2587,126.2333,38.12,"2012-11-02 18:17:33",usb000djgv,http://earthquake.usgs.gov/earthquakes/eventpage/usb000djgv
2.5,"43km SE of Redoubt Volcano, Alaska",60.1996,-152.2025,63.7,"2012-11-02 18:14:51",ak10592342,http://earthquake.usgs.gov/earthquakes/eventpage/ak10592342
2.5,"31km NNW of Culebra, Puerto Rico",18.5776,-65.3817,91,"2012-11-02 17:58:22",pr12307003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12307003
3.2,"14km N of Hatillo, Puerto Rico",18.6173,-66.8506,11,"2012-11-02 14:31:45",pr12307002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12307002
3.8,"14km S of Volcano, Hawaii",19.3022,-155.222,9.9,"2012-11-02 14:17:35",hv60425961,http://earthquake.usgs.gov/earthquakes/eventpage/hv60425961
5,"84km SSE of Sarangani, Philippines",4.7235,125.804,182.51,"2012-11-02 14:02:48",usb000dj9g,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj9g
2.7,"21km NNW of Pepeekeo, Hawaii",20.0175,-155.1798,8,"2012-11-02 13:42:18",hv60425951,http://earthquake.usgs.gov/earthquakes/eventpage/hv60425951
4.6,"73km ENE of Taron, PNG",-4.3,153.6706,107.47,"2012-11-02 11:38:57",usb000dj8a,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj8a
2.5,"84km N of Redoubt Volcano, Alaska",61.2369,-152.4825,0,"2012-11-02 10:25:09",ak10592262,http://earthquake.usgs.gov/earthquakes/eventpage/ak10592262
4.7,"292km ENE of Dili, East Timor",-7.3431,127.9293,35.23,"2012-11-02 10:19:38",usb000dj7w,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj7w
2.8,"18km NNE of Anchor Point, Alaska",59.9159,-151.6478,46.8,"2012-11-02 09:38:33",ak10592246,http://earthquake.usgs.gov/earthquakes/eventpage/ak10592246
4.4,"96km NNW of Tocopilla, Chile",-21.2674,-70.5093,51.12,"2012-11-02 09:07:26",usb000dj6y,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj6y
2.5,"37km NW of Valdez, Alaska",61.3716,-146.832,13,"2012-11-02 09:01:34",ak10592230,http://earthquake.usgs.gov/earthquakes/eventpage/ak10592230
4.4,"15km SW of Champerico, Guatemala",14.1975,-92.0141,68.49,"2012-11-02 08:57:13",usb000dj6k,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj6k
4,"203km S of Masset, Canada",52.1857,-132.1601,10.41,"2012-11-02 08:37:10",usb000dj65,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj65
4.1,"50km ESE of Jesus Carranza, Mexico",17.2569,-94.5977,117.14,"2012-11-02 08:25:21",usb000dj5k,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj5k
4.5,"182km S of Masset, Canada",52.3791,-132.025,10.18,"2012-11-02 08:19:59",usb000dj5e,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj5e
4.2,"170km S of Masset, Canada",52.4974,-131.7585,11.01,"2012-11-02 07:15:45",usb000dj4l,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj4l
2.9,"52km N of Charlotte Amalie, U.S. Virgin Islands",18.8139,-64.9373,24,"2012-11-02 07:11:13",pr12307001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12307001
3.1,"77km SSW of Boca de Yuma, Dominican Republic",17.7091,-68.8226,118,"2012-11-02 05:55:54",pr12307000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12307000
2.5,"18km NNE of Pine Mountain Club, California",35.0095,-119.0882,18.5,"2012-11-02 04:08:46",ci15240097,http://earthquake.usgs.gov/earthquakes/eventpage/ci15240097
2.6,"44km N of Joshua Tree, California",34.5293,-116.256,0.1,"2012-11-02 03:30:15",ci15240073,http://earthquake.usgs.gov/earthquakes/eventpage/ci15240073
5.5,"43km SSE of Ust'-Kamchatsk Staryy, Russia",55.8796,162.7907,6.06,"2012-11-02 01:52:03",usb000dj29,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj29
3.28,"32km SE of Spring Creek, Nevada",40.5071,-115.3264,0,"2012-11-02 01:30:47",nn00392704,http://earthquake.usgs.gov/earthquakes/eventpage/nn00392704
2.8,"27km ENE of King City, California",36.3058,-120.839,8.6,"2012-11-02 01:23:23",nc71873550,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873550
5.3,"86km N of Detuwane, Indonesia",-7.7433,121.6651,272.79,"2012-11-02 01:22:14",usb000dj1z,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj1z
2.5,"15km ESE of Yosemite Valley, California",37.6935,-119.4082,26.1,"2012-11-02 00:19:45",nc71873520,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873520
4.3,"72km SW of Chepes, Argentina",-31.78,-67.18,85,"2012-11-01 23:43:39",usb000dj15,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj15
5.3,"54km ENE of Bunobogu, Indonesia",1.2377,122.0653,38.38,"2012-11-01 23:37:18",usb000dj12,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dj12
3.4,"85km S of Boca de Yuma, Dominican Republic",17.6161,-68.722,71,"2012-11-01 23:03:11",pr12306008,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306008
2.7,"14km SE of Mammoth Lakes, California",37.5413,-118.8697,8.7,"2012-11-01 21:34:44",nc71873400,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873400
3.2,"14km SW of Middleton Island, Alaska",59.3464,-146.5036,5.7,"2012-11-01 20:05:05",ak10591674,http://earthquake.usgs.gov/earthquakes/eventpage/ak10591674
2.8,"3km SSW of San Juan Bautista, California",36.8157,-121.5505,5.9,"2012-11-01 18:06:17",nc71873265,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873265
4.7,"22km S of Agrihan, Northern Mariana Islands",18.5648,145.6828,164.34,"2012-11-01 17:21:57",usb000diti,http://earthquake.usgs.gov/earthquakes/eventpage/usb000diti
2.6,"32km E of Salina, Utah",38.9832,-111.484,1.9,"2012-11-01 15:58:50",uu60003532,http://earthquake.usgs.gov/earthquakes/eventpage/uu60003532
3,"67km SE of Punta Cana, Dominican Republic",18.1725,-67.9369,104,"2012-11-01 15:33:40",pr12306007,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306007
4.7,"67km NNE of Savannah Bight, Honduras",16.9701,-85.5165,7.86,"2012-11-01 15:30:48",usb000dirg,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dirg
3,"5km S of Volcano, Hawaii",19.3778,-155.235,3.1,"2012-11-01 15:26:27",hv60425206,http://earthquake.usgs.gov/earthquakes/eventpage/hv60425206
2.8,"6km S of Volcano, Hawaii",19.3768,-155.2355,2.7,"2012-11-01 15:25:10",hv60425201,http://earthquake.usgs.gov/earthquakes/eventpage/hv60425201
2.9,"43km NNE of Camalu, Mexico",31.2253,-115.9228,6,"2012-11-01 14:59:09",ci15239713,http://earthquake.usgs.gov/earthquakes/eventpage/ci15239713
3.4,"3km SSW of San Juan Bautista, California",36.8147,-121.5473,6,"2012-11-01 14:34:17",nc71873180,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873180
4.1,"39km WNW of Nikiski, Alaska",60.7711,-151.9927,89.1,"2012-11-01 14:13:35",ak10591484,http://earthquake.usgs.gov/earthquakes/eventpage/ak10591484
5.8,"3km NE of Padalarang, Indonesia",-6.8206,107.4971,138.81,"2012-11-01 14:12:01",usb000dipu,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dipu
2.7,"24km SW of Coalinga, California",35.9693,-120.5353,5.1,"2012-11-01 14:11:33",nc71873160,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873160
5,"30km W of Madang, Papua New Guinea",-5.2425,145.5199,94.38,"2012-11-01 13:26:12",usb000dip8,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dip8
4.4,"18km WSW of Fraile Pintado, Argentina",-23.9958,-64.9726,24.06,"2012-11-01 12:02:03",usb000diny,http://earthquake.usgs.gov/earthquakes/eventpage/usb000diny
5.1,"36km W of Amatignak Island, Alaska",51.2652,-179.6306,60.7,"2012-11-01 09:51:05",usb000dina,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dina
3.3,"41km N of Isabela, Puerto Rico",18.8696,-66.9507,45,"2012-11-01 09:50:49",pr12306006,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306006
5,"118km ENE of Ndoi Island, Fiji",-20.2379,-177.6548,458.73,"2012-11-01 09:48:01",usb000din9,http://earthquake.usgs.gov/earthquakes/eventpage/usb000din9
2.9,"176km E of Chitina, Alaska",61.5602,-141.1278,0,"2012-11-01 09:00:08",ak10591420,http://earthquake.usgs.gov/earthquakes/eventpage/ak10591420
4.3,"46km WNW of Khorugh, Tajikistan",37.6194,71.0551,223.13,"2012-11-01 07:35:27",usb000dilx,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dilx
5.2,"147km SSW of Severo-Kuril'sk, Russia",49.403,155.5456,49.01,"2012-11-01 06:57:22",usb000dilu,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dilu
2.5,"1km SSE of Mammoth Lakes, California",37.6363,-118.9647,7.6,"2012-11-01 06:56:58",nc71873040,http://earthquake.usgs.gov/earthquakes/eventpage/nc71873040
4.5,"Jan Mayen Island region",71.9129,-0.3958,10.03,"2012-11-01 06:33:37",usb000dill,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dill
3.3,"13km SW of Road Town, British Virgin Islands",18.3456,-64.718,110,"2012-11-01 04:53:35",pr12306005,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306005
3,"19km N of Isabela, Puerto Rico",18.6765,-67.0316,26,"2012-11-01 04:52:21",pr12306003,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306003
2.5,"84km W of Cantwell, Alaska",63.5138,-150.6192,18.2,"2012-11-01 04:51:48",ak10591361,http://earthquake.usgs.gov/earthquakes/eventpage/ak10591361
3.1,"127km N of Road Town, British Virgin Islands",19.5573,-64.4189,52,"2012-11-01 04:48:45",pr12306004,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306004
3.1,"122km NNE of Vieques, Puerto Rico",19.475,-65.4568,75,"2012-11-01 04:44:59",pr12306002,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306002
3.1,"120km NNE of Vieques, Puerto Rico",19.4002,-65.327,85,"2012-11-01 04:38:20",pr12306001,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306001
3.2,"93km NNW of Charlotte Amalie, U.S. Virgin Islands",19.1431,-65.1969,103,"2012-11-01 04:12:41",pr12306000,http://earthquake.usgs.gov/earthquakes/eventpage/pr12306000
2.7,"95km SW of Anchor Point, Alaska",59.2509,-153.1587,100.1,"2012-11-01 04:05:57",ak10591342,http://earthquake.usgs.gov/earthquakes/eventpage/ak10591342
5.1,"229km SSE of Saparua, Indonesia",-5.592,129.1256,238.47,"2012-11-01 03:31:24",usb000dik3,http://earthquake.usgs.gov/earthquakes/eventpage/usb000dik3
3,"17km NE of Nice, California",39.2445,-122.7155,16.7,"2012-11-01 03:24:19",nc71872925,http://earthquake.usgs.gov/earthquakes/eventpage/nc71872925
2.7,"16km NE of Nice, California",39.2452,-122.7325,7.7,"2012-11-01 03:20:02",nc71872915,http://earthquake.usgs.gov/earthquakes/eventpage/nc71872915
